NetworkScore,Age,Tenure,MonthlyCharge,NumOfProducts,HasInternetService,IsActiveMember,EstimatedMonthlyUsage,Exited,region_East,region_North,region_South,region_West,gender_Female,gender_Male,gender_Other
0.1515,1,0.35,0.9095,1,0,1,0.7321,0,0,0,0,1,1,0,0
0.0101,0.7115,0.15,0.4417,0,1,0,0.0926,1,0,0,1,0,1,0,0
0.1111,0.1538,0.4,0.0853,0.3333,1,1,0.9441,1,0,0,0,1,0,1,0
0.7071,0,0.5,0.2385,0,1,1,0.8617,1,0,0,0,1,1,0,0
0.8485,0.7308,0.6,0.489,0,1,1,0.4852,0,1,0,0,0,0,0,1
0.9697,0.3462,0.8,0.1059,0,0,0,0.4982,0,0,0,0,1,1,0,0
0.2222,0.3077,0.35,0.4276,1,1,0,0.1329,1,0,1,0,0,0,0,1
0.3131,0.7308,0.1,0.7921,1,1,0,0.0125,0,0,0,0,1,0,0,1
0.7475,0.7885,0.6,0.5945,1,0,0,0.6885,1,0,0,0,1,1,0,0
0.6061,0.2885,0.95,0.1493,1,1,1,0.5162,0,0,0,1,0,0,0,1
0.5354,0.1923,0.9,0.8772,0,0,0,0.7246,1,0,0,1,0,1,0,0
0.1616,0.4231,0.5,0.2191,0,1,0,0.3579,1,0,0,1,0,0,1,0
0.8283,0.4231,0.2,0.7253,0.3333,1,0,0.9119,0,0,1,0,0,0,1,0
0.0404,0.9038,0,0.6357,0,1,0,0.4959,0,0,1,0,0,0,1,0
0.6869,0.9808,0.6,0.1924,1,1,1,0.4515,0,0,1,0,0,0,1,0
0.8485,0.4615,1,0.2786,0.6667,0,1,0.3162,0,0,1,0,0,0,0,1
0.596,0.3846,1,0.3469,0.6667,1,1,0.5794,1,1,0,0,0,1,0,0
0.8586,0.5577,0.2,0.1453,0,0,1,0.8203,1,0,0,1,0,1,0,0
0.4949,0.3077,0.4,0.2023,0,1,0,0.88,1,0,0,0,1,0,1,0
0.4545,0.5769,0.95,0.6744,1,0,0,0.1706,1,0,0,0,1,0,0,1
0.1616,0.9231,0.8,0.9956,0.6667,1,0,0.2914,1,0,0,0,1,0,1,0
0.7374,0.9808,0.8,0.8511,0.3333,1,1,0.5582,0,0,1,0,0,0,1,0
0.3838,0.25,0.5,0.7494,0.3333,1,0,0.8513,1,0,0,1,0,1,0,0
0.0202,0.1346,0.25,0.4542,1,0,0,0.9011,1,0,1,0,0,0,1,0
0.8889,0.25,0.65,0.9112,0.3333,1,0,0.1944,0,0,0,1,0,0,0,1
0.596,0.5,0.15,0.0066,1,0,0,0.2186,0,1,0,0,0,0,1,0
0.5152,0.5962,0.35,0.4846,0,0,1,0.2942,0,1,0,0,0,1,0,0
0.0404,0.75,0.2,0.6866,1,0,1,0.5278,0,0,1,0,0,0,1,0
0.596,0.5,0.75,0.9969,0.3333,0,1,0.929,0,1,0,0,0,0,1,0
0.9293,0.1346,0.5,0.3758,0.6667,0,0,0.5607,1,0,0,0,1,0,1,0
0.1212,0.8654,0.75,0.9464,0,1,1,0.5497,1,0,0,1,0,1,0,0
0.4141,0.5385,0.25,0.5456,1,1,1,0.2431,0,0,0,0,1,1,0,0
0.5152,0.5192,0.35,0.4407,0,1,0,0.8462,0,1,0,0,0,0,0,1
0.2828,0.9615,0.5,0.2399,0.3333,1,0,0.7378,1,0,1,0,0,0,1,0
0.0101,0.6154,0.05,0.2246,0.6667,1,1,0.6072,0,0,0,1,0,0,0,1
0,0.1538,0.15,0.311,0.3333,1,0,0.2037,1,0,0,1,0,1,0,0
0.7172,0.7308,0,0.9401,0,1,1,0.8022,0,0,1,0,0,0,1,0
0.5455,0.8269,0,0.5827,1,1,0,0.0439,1,0,0,1,0,0,0,1
1,0.8654,0.8,0.6695,0.6667,1,0,0.2818,1,0,0,0,1,1,0,0
0.4646,0.5,0.5,0.0991,0,1,0,0.4749,1,0,1,0,0,0,1,0
0.6768,0.1538,0.4,0.0403,0.3333,1,1,0.9316,0,0,0,0,1,0,0,1
0.8687,0.2885,0.65,0.4247,0,0,0,0.3402,1,0,0,1,0,1,0,0
0.1717,0.1731,0.8,0.1642,0,1,0,0.853,1,1,0,0,0,0,1,0
0.6869,0.2885,0.9,0.3108,1,0,0,0.7191,0,0,0,0,1,0,0,1
0.5152,0.8077,0.6,0.4785,0,0,0,0.3366,0,0,1,0,0,1,0,0
0.5556,0.0192,0.35,0.8521,0,0,1,0.4237,1,1,0,0,0,0,1,0
0.7071,0.8269,0.5,0.1439,0.6667,0,0,0.5027,1,0,1,0,0,1,0,0
0.2828,0.2885,0.3,0.6608,1,1,0,0.5667,1,0,0,0,1,0,1,0
0.3232,0.3269,0.1,0.2271,1,0,1,0.3325,0,1,0,0,0,0,0,1
0.899,0.2115,0.8,0.8864,0.6667,0,1,0.9329,0,1,0,0,0,0,1,0
0.0303,0.1731,0.35,0.7843,0.6667,1,0,0.7465,1,0,0,0,1,1,0,0
0.3737,0.4231,0.55,0.0759,0.6667,1,0,0.0494,0,0,1,0,0,0,1,0
0.798,0.0385,0.45,0.0186,1,1,1,0.7177,1,0,0,0,1,0,0,1
0.0707,0.5,0.15,0.8966,1,1,1,0.5596,1,0,0,1,0,1,0,0
0.9394,0.3269,0.4,0.9115,0,1,0,0.0699,0,0,0,1,0,0,1,0
0.202,0.7308,0.75,0.4195,0.6667,1,1,0.0481,1,0,0,1,0,1,0,0
0.1414,0.1923,0.55,0.5599,0,0,1,0.6073,1,0,1,0,0,0,0,1
0.4646,0.2308,0.95,0.7961,1,1,0,0.1132,1,0,0,1,0,1,0,0
0.7273,0.5,0.55,0.5962,0.6667,1,0,0.9253,0,1,0,0,0,0,0,1
0.5859,0.3462,0.4,0.3748,0.3333,1,1,0.9839,0,0,0,1,0,0,1,0
0,0.6923,0.75,0.3292,0,0,1,0.6558,1,1,0,0,0,1,0,0
0.3636,0.0577,0.7,0.3472,0,0,0,0.5784,1,1,0,0,0,0,0,1
0.1919,0.6731,0.15,0.3793,0,0,0,0.058,0,0,1,0,0,0,1,0
0.2222,0.6538,0.9,0.0426,0,1,1,0.4982,0,0,1,0,0,0,0,1
0.5354,0.4231,0.25,0.2447,0.3333,0,0,0.5164,0,1,0,0,0,0,1,0
0.2727,0.0577,0.5,0.1435,0.3333,0,1,0.5763,1,0,0,0,1,0,0,1
0.9192,0.8077,0.65,0.6406,1,0,0,0.7447,1,0,0,1,0,0,0,1
0.5556,0.3654,0.05,0.7612,0.3333,1,0,0.3454,1,0,0,1,0,0,1,0
0.2323,0.9231,0.85,0.9094,1,0,0,0.0517,0,0,0,0,1,0,1,0
0.3636,0.9038,0.5,0.8058,1,1,0,0.7767,0,0,0,0,1,0,1,0
0.9293,0.6731,0.9,0.5827,0.6667,0,1,0.0052,1,0,1,0,0,1,0,0
0.6263,0.7115,0.65,0.2203,0,1,0,0.3474,0,1,0,0,0,1,0,0
0.7273,0.1731,0.15,0.5046,0.6667,0,1,0.3823,1,0,0,0,1,1,0,0
0.596,0.5,0.9,0.6032,0.3333,0,0,0.1863,0,1,0,0,0,0,1,0
0.0707,0.3462,0.5,0.7531,0.3333,1,0,0.8867,1,0,0,0,1,0,0,1
0.9293,0.5962,0.05,0.9799,0,0,0,0.5089,1,0,0,0,1,0,1,0
0.3232,0.4615,0.2,0.4756,0.3333,0,1,0.5571,0,0,0,1,0,0,0,1
0.8283,0.3462,0.25,0.375,0.3333,1,1,0.4982,0,0,0,0,1,0,0,1
0.4242,0.6923,0.9,0.938,0.6667,1,1,0.0231,1,1,0,0,0,1,0,0
0.9091,0.5,0.85,0.0292,1,0,1,0.6222,0,1,0,0,0,1,0,0
0.5152,0.6923,0.7,0.601,1,0,1,0.1933,0,0,0,1,0,0,1,0
0.2727,0.2115,0.8,0.5474,1,0,1,0.2768,1,0,0,0,1,1,0,0
0.1616,0.2885,0.15,0.77,1,1,0,0.8319,1,0,1,0,0,0,1,0
0.2323,0.5385,1,0.8576,0,1,1,0.5119,1,0,1,0,0,0,0,1
0.3737,0,0.3,0.3389,0.6667,1,0,0.2927,1,0,0,0,1,0,1,0
0.5152,0.0962,0.2,0.1848,1,1,0,0.8141,1,1,0,0,0,0,0,1
0.9091,0.8846,0.55,0.0912,0,0,1,0.3592,0,0,0,0,1,0,1,0
0.4242,0.0769,0,0.5495,0,0,1,0.0377,0,0,0,0,1,0,0,1
0.0202,0.5385,0.7,0.3859,1,1,1,0.4659,0,0,0,0,1,0,1,0
0.3131,0.4038,0.6,0.3989,0,1,0,0.3964,0,0,0,0,1,0,0,1
0.1616,0.1923,0.75,0.8731,0.6667,1,0,0.204,1,0,0,1,0,0,1,0
0.5455,0.5769,0.55,0.0567,0.3333,1,0,0.9993,1,0,0,1,0,0,0,1
0.5152,0.8269,0.2,0.9394,1,1,0,0.2989,1,0,1,0,0,0,1,0
0.404,0.3462,0.6,0.5834,0,0,0,0.6747,0,0,0,1,0,0,1,0
0.5152,0.8269,0.5,0.3407,0,0,1,0.3792,0,0,0,1,0,0,0,1
0.4646,0.1154,0.65,0.6116,0.3333,1,1,0.7383,1,1,0,0,0,1,0,0
0.8485,0.8846,0.9,0.7968,0.6667,1,1,0.1714,1,0,0,0,1,1,0,0
0.5859,0.8269,0.55,0.7941,0.3333,1,0,0.6553,1,1,0,0,0,1,0,0
0.4242,0.6346,0.35,0.8538,0,1,1,0.2114,0,0,0,1,0,1,0,0
0.7374,0.75,0.4,0.723,0,1,0,0.6254,1,0,1,0,0,1,0,0
0.9495,1,0.5,0.4436,0,0,0,0.4497,1,1,0,0,0,1,0,0
0.8485,0.7115,0.3,0.7745,0.6667,1,0,0.6071,0,0,0,0,1,0,1,0
0.5354,0.7692,0.5,0.4754,0,1,1,0.8366,0,0,1,0,0,0,0,1
0.5556,0.3462,0.65,0.4281,0.3333,0,0,0.6175,0,0,1,0,0,0,1,0
0.9899,0.2692,0.1,0.8851,0.6667,0,1,0.7862,0,0,0,1,0,0,1,0
0.8485,0.0769,0.8,0.232,0.3333,0,1,0.2431,1,1,0,0,0,0,1,0
0.3535,0.9423,1,0.1797,0.6667,1,0,0.965,1,1,0,0,0,1,0,0
0.4141,0.7115,0.95,0.4466,0,0,0,0.3569,1,0,0,1,0,0,1,0
0.404,0.8846,1,0.2115,0.6667,1,1,0.8574,1,0,0,1,0,0,0,1
0.7172,0.8846,0.85,0.7579,1,0,1,0.3473,0,1,0,0,0,0,1,0
0.8081,0.2308,0.45,0.7931,0.3333,1,0,0.058,1,1,0,0,0,1,0,0
0.0909,0.1154,0.7,0.5007,1,0,0,0.8995,1,1,0,0,0,1,0,0
0.7778,0.6923,0.65,0.6604,0.3333,0,0,0.4982,0,1,0,0,0,1,0,0
0.5152,0.3077,0.1,0.0821,0,1,1,0.1292,1,0,0,0,1,0,1,0
0.6869,0.3462,0.35,0.8045,1,1,1,0.2254,0,1,0,0,0,0,0,1
0.7273,0.1346,0.4,0.8897,0.6667,0,1,0.446,1,0,0,0,1,0,1,0
0.9798,0.5192,0.6,0.2023,1,0,0,0.775,0,0,0,1,0,0,1,0
0.8283,0.4231,0.85,0.7551,0.3333,1,0,0.2002,0,0,1,0,0,0,0,1
0.6667,0.8654,0.2,0.4488,1,0,0,0.4137,1,0,0,0,1,1,0,0
0.9293,0.9423,0.9,0.2517,0.3333,1,0,0.017,0,1,0,0,0,0,0,1
0.0303,0.8654,0.2,0.7985,0.3333,1,1,0.754,1,1,0,0,0,0,0,1
0.9293,0.2692,0.7,0.9615,1,1,0,0.1173,1,0,0,0,1,1,0,0
0.798,0.5,0.8,0.1333,0.6667,1,1,0.2531,0,0,1,0,0,0,0,1
0.8788,0.9808,0.65,0.4272,0,0,0,0.7247,1,0,1,0,0,1,0,0
0.6162,0.5577,0.3,0.2618,0.3333,1,0,0.3301,0,1,0,0,0,0,1,0
0.8687,0.7308,0.55,0.1774,0.3333,0,1,0.8795,0,1,0,0,0,0,0,1
0.4141,0.2308,0,0.397,0.3333,1,1,0.0695,1,0,0,0,1,1,0,0
0.5152,0.0192,0,0.0853,0.3333,0,0,0.5431,0,0,1,0,0,0,1,0
0.101,0.5,0.95,0.447,0.3333,1,0,0.1295,1,0,1,0,0,0,0,1
0.2424,0.0577,0.35,0.5953,0,0,0,0.3135,1,0,0,1,0,1,0,0
0.3838,0.9808,0.25,0.6708,0,0,0,0.3079,1,0,1,0,0,0,1,0
0.6768,0.4423,0.15,0.0954,0,1,0,0.358,0,0,1,0,0,0,0,1
0.1616,0.5385,0.15,0.5955,0.6667,0,1,0.8351,0,0,1,0,0,0,1,0
0.2727,0.0769,0.7,0.6288,0,1,1,0.7749,1,1,0,0,0,0,1,0
0.9293,0.4615,0.1,0.7389,0.6667,0,1,0.2363,0,0,1,0,0,0,1,0
0.5253,0.6154,0.35,0.5085,0,1,1,0.3249,0,1,0,0,0,0,1,0
0.9596,0.4615,0.25,0.6997,0.6667,0,0,0.4863,1,0,1,0,0,0,1,0
0.1818,0.9808,0.25,0.069,0,1,0,0.2877,0,0,0,1,0,1,0,0
0.3434,0.2308,0.65,0.2938,0,1,0,0.0504,1,0,1,0,0,1,0,0
0.0202,0.8654,0,0.7102,0,0,1,0.6757,0,0,1,0,0,0,0,1
0.303,0.5577,0.15,0.9204,0.3333,1,1,0.3724,1,0,1,0,0,0,1,0
0.1717,0.5,0.95,0.672,1,1,1,0.2124,1,0,0,1,0,1,0,0
0.8889,0.8269,0.6,0.4098,0.6667,1,0,0.2153,0,0,0,1,0,0,0,1
0.1212,0.5,0.3,0.6475,0.3333,1,1,0.1586,0,0,0,1,0,0,0,1
0.101,0.8654,0.45,0.8722,1,1,0,0.5412,1,0,1,0,0,1,0,0
0.6869,1,0.5,0.5993,0.3333,0,0,0.6633,1,1,0,0,0,1,0,0
0.8485,0.0962,0.4,0.7686,0.6667,1,0,0.1286,1,0,0,0,1,0,1,0
0.5152,0.5192,0.15,0.8803,0.6667,1,0,0.4391,1,1,0,0,0,1,0,0
0.6768,1,0.6,0.2429,0.3333,1,0,0.6803,1,1,0,0,0,1,0,0
0.2828,0.7885,0.7,0.488,0,0,1,0.5205,0,0,0,1,0,0,0,1
0.0404,0.1538,0.4,0.0694,0,1,0,0.1754,1,0,0,0,1,1,0,0
0.5859,0.4808,0.8,0.8775,0,0,0,0.4587,1,0,0,0,1,0,1,0
0.1818,0.5577,0.35,0.5905,0.3333,1,0,0.0025,1,1,0,0,0,0,1,0
0.9394,0.2885,0.4,0.9744,0.6667,1,1,0.1541,0,1,0,0,0,0,0,1
0.3939,0.5385,0.85,0.06,0.6667,1,1,0.891,0,0,0,1,0,0,1,0
0.7879,0.7308,0.45,0.748,0,1,0,0.4913,1,0,1,0,0,1,0,0
0.4343,0.6923,0.25,0.8144,0.3333,1,0,0.4555,1,1,0,0,0,1,0,0
0.4747,0.1154,0.5,0.1352,1,1,1,0.9775,1,0,1,0,0,1,0,0
0.5152,0.8462,0.45,0.7954,1,0,0,0.3603,1,0,0,1,0,1,0,0
0.5455,0.1538,0.6,0.8159,0.6667,1,1,0.1332,0,0,0,0,1,0,0,1
0.0606,0.5577,0,0.7093,0,1,0,0.9692,1,0,0,1,0,0,1,0
0.8485,0.9038,0.3,0.2743,0.3333,0,1,0.8496,1,0,1,0,0,1,0,0
0.5354,0.9615,0.95,0.4456,1,1,1,0.5117,1,1,0,0,0,1,0,0
0.0909,0.8654,0.6,0.5166,1,0,0,0.6982,0,0,0,1,0,1,0,0
0.2525,0.6538,0.75,0.7815,0.6667,1,0,0.8539,1,0,0,1,0,0,1,0
0.7879,0.0385,0.9,0.8248,0.3333,0,1,0.8597,1,0,0,0,1,1,0,0
0.303,0.6154,0.1,0.5663,0.3333,1,0,0.7005,1,0,1,0,0,1,0,0
0.8586,0.8077,0.85,0.7755,0.6667,1,1,0.7394,1,1,0,0,0,1,0,0
0.6162,0.2692,0.65,0.437,0,1,1,0.0691,1,0,0,0,1,0,0,1
0.697,0.1346,0.35,0.7651,0.6667,1,0,0.6617,0,0,0,0,1,1,0,0
0.9899,0.4038,0.7,0.188,0,0,1,0.0206,1,0,0,0,1,1,0,0
0.9495,0.7115,0.35,0.6675,1,1,0,0.0352,1,0,0,0,1,0,0,1
0.2424,0.7885,0.05,0.926,0.3333,0,0,0.0843,1,0,0,0,1,0,1,0
0.4343,0.5,0.8,0.3772,0.6667,0,1,0.4675,0,0,1,0,0,0,0,1
0.7273,0.5,0,0.3889,1,1,0,0.1263,0,0,0,0,1,1,0,0
0.9798,0.8846,0.1,0.5273,0,1,0,0.9115,1,0,0,0,1,0,0,1
0.4646,0.0577,0.85,0.0729,0.3333,0,0,0.8438,1,1,0,0,0,1,0,0
0.3131,0.2885,0.95,0.8528,0,1,1,0.5603,1,1,0,0,0,0,0,1
0.6566,0.4615,0.55,0.7011,0.3333,0,1,0.7978,1,0,0,1,0,1,0,0
0.1818,0.6923,0,0.1421,0,1,1,0.1796,1,0,0,1,0,0,1,0
0.202,0.6346,0.2,0.8528,0,0,0,0.8707,1,0,1,0,0,0,0,1
0.0909,0.75,0.55,0.1879,1,0,1,0.5696,0,0,1,0,0,1,0,0
0.8384,0.6538,0.75,0.8977,0.6667,1,0,0.512,1,1,0,0,0,0,0,1
0.6061,0.9038,0.5,0.2803,0,0,1,0.5505,1,0,1,0,0,1,0,0
0.8283,0.5769,0.2,0.4564,1,1,0,0.9403,0,0,0,1,0,0,1,0
0.9697,0.2885,0.9,0.2431,0,1,0,0.2562,1,0,1,0,0,1,0,0
0.7475,0.1731,0,0.9479,0.6667,0,0,0.1993,1,0,0,1,0,0,0,1
0.6465,0.0769,1,0.2444,0.6667,1,0,0.2574,1,0,0,0,1,1,0,0
0.6061,0.0192,0.85,0.5844,0,1,1,0.2894,1,1,0,0,0,1,0,0
0.9697,0.8462,0.5,0.0904,0.3333,0,1,0.3412,0,0,0,1,0,0,1,0
0.9495,0.2115,0.65,0.353,0.3333,1,0,0.1742,0,0,1,0,0,0,1,0
0.5152,0.0962,0.85,0.7188,0.6667,1,1,0.9186,1,1,0,0,0,0,1,0
0.5051,0.5962,0.95,0.5024,0,1,1,0.067,1,0,1,0,0,0,1,0
0.5455,0.1346,0.6,0.6972,0.6667,0,0,0.9407,1,0,0,0,1,1,0,0
0.5455,0.4808,0.2,0.2912,1,0,1,0.9567,0,1,0,0,0,1,0,0
0.6162,0.0962,0.4,0.738,0,0,1,0.1359,1,0,0,0,1,1,0,0
0.202,0.9423,0.2,0.4077,1,1,1,0.5304,0,0,0,0,1,1,0,0
0.8485,0.7885,0.8,0.673,0.6667,1,0,0.7515,1,0,0,1,0,0,1,0
0.7374,0.2885,0.55,0.2122,0.3333,0,0,0.3672,1,0,0,0,1,1,0,0
0.5152,0.1154,0.8,0.6754,1,0,1,0.7914,1,1,0,0,0,0,0,1
0.2626,0.2692,0,0.595,0,0,0,0.3917,1,1,0,0,0,1,0,0
0.3939,0.2115,0.6,0.4578,0.3333,1,1,0.7115,1,0,0,1,0,1,0,0
0.0404,0.0192,0.5,0.8697,0,1,1,0.4678,1,0,0,1,0,0,0,1
0.5051,0.4615,0.65,0.9805,1,0,1,0.2504,0,0,0,1,0,0,0,1
0.6162,0.9808,0.3,0.3839,0.3333,1,1,0.7515,0,0,0,0,1,0,1,0
0.0707,0.5962,0.6,0.5093,0.6667,0,0,0.0644,1,0,0,0,1,1,0,0
0.798,0.6538,0.2,0.2198,1,1,1,0.9501,0,0,1,0,0,0,1,0
0.3838,0.8269,0.1,0.2366,0.6667,1,1,0.4439,1,0,1,0,0,1,0,0
0.7677,0.75,0.9,0.255,0,0,1,0.7088,0,0,0,0,1,0,0,1
0.9091,0.4808,0.75,0.2262,1,0,1,0.4557,0,0,1,0,0,0,0,1
0.1515,0.4615,1,0.5305,0,1,1,0.2563,1,1,0,0,0,1,0,0
0.3333,0.9808,0.6,0.1854,1,1,0,0.3435,0,1,0,0,0,0,1,0
0.8081,1,0.2,0.9858,0.3333,0,0,0.4236,0,0,0,1,0,0,1,0
0.7879,0.5385,1,0.9033,0.3333,1,0,0.7882,0,0,1,0,0,0,1,0
0.5859,0,0.65,0.7943,0.6667,0,1,0.8013,1,0,0,1,0,0,0,1
0.6061,0,0,0.2264,0.3333,0,0,0.7439,1,1,0,0,0,1,0,0
0.5152,0.4038,0.05,0.3576,0.6667,0,1,0.7242,0,0,0,1,0,0,0,1
0.9798,0.2885,0.1,0.6152,0.6667,0,1,0.1695,1,0,0,0,1,1,0,0
0.9798,0.6154,0.2,0.4234,0.6667,0,0,0.5689,0,0,0,0,1,0,1,0
0.1414,0.0962,0.65,0.1485,1,1,0,0.8111,0,0,0,0,1,0,1,0
0.0505,0.5,0.4,0.4252,0,1,0,0.1664,1,0,1,0,0,1,0,0
0.1616,0.8269,0.3,0.5317,0.3333,1,0,0.9371,1,0,0,0,1,0,0,1
0.303,0.4615,0.15,0.3541,1,0,1,0.3479,0,0,0,0,1,1,0,0
0.6566,0.7692,0.55,0.5229,0.3333,1,0,0.1147,0,0,0,0,1,0,1,0
0.1818,0.3269,0.4,0.2642,0.6667,0,0,0.0695,0,0,1,0,0,0,1,0
0.5051,0.3462,0.45,0.1166,0,1,0,0.3982,0,0,0,1,0,0,0,1
0.2424,0.3846,0.1,0.5868,0,0,0,0.5459,0,0,1,0,0,0,0,1
0.798,0.2885,0.1,0.9255,0.3333,1,1,0.4612,1,1,0,0,0,0,0,1
0.9091,0.4808,0.7,0.9704,0.6667,0,0,0.3111,0,0,1,0,0,1,0,0
0.5152,0.5577,0,0.4053,0.6667,0,0,0.4491,0,1,0,0,0,0,0,1
0.1818,0.2115,0.9,0.333,1,1,1,0.938,1,1,0,0,0,1,0,0
0.5152,0.5769,0.1,0.9264,0.3333,0,1,0.1607,0,0,1,0,0,0,1,0
0.202,0.6346,0.65,0.5429,1,1,1,0.7013,0,0,1,0,0,0,0,1
0.4646,0.7692,0.25,0.1496,0.6667,1,0,0.4436,1,0,0,1,0,1,0,0
0.8889,0.3846,0.05,0.8293,0.6667,0,0,0.8257,1,0,1,0,0,1,0,0
0.7778,0.3462,0.85,0.2148,1,1,0,0.0664,0,0,0,0,1,0,0,1
0.4141,0.9423,0.4,0.5781,0.3333,1,1,0.4475,0,0,1,0,0,0,0,1
0.1818,0.7692,1,0.343,0.3333,0,0,0.2169,0,1,0,0,0,0,0,1
0.3232,0.5769,0.65,0.5425,0.3333,0,1,0.9996,0,0,0,0,1,1,0,0
0.6364,0.2885,0.2,0.042,0,0,1,0.3155,1,0,0,1,0,0,1,0
0.1616,0.2692,0.65,0.634,0.6667,0,0,0.7161,0,0,0,0,1,0,1,0
0.9495,0.3846,0.6,0.8283,1,0,0,0.5542,1,0,1,0,0,0,0,1
0.5455,0.3846,0.6,0.5809,1,1,1,0.2239,0,1,0,0,0,0,1,0
0.5152,0.4231,0.1,0.3877,0,0,1,0.7387,0,1,0,0,0,0,0,1
0.3131,0.2115,0.3,0.1386,0.3333,0,0,0.0343,1,0,0,1,0,0,1,0
0.6364,0.9808,0.55,0.5221,1,1,0,0.41,0,0,0,0,1,0,1,0
0.0303,0.25,0.9,0.1314,0.3333,1,1,0.1992,1,0,0,1,0,0,1,0
0.8384,0.0192,0.05,0.8204,0.6667,1,1,0.5136,0,0,0,1,0,0,1,0
0.7374,0.1154,0.35,0.4551,0.6667,1,0,0.883,1,0,0,1,0,0,1,0
0.4141,0.9615,0.9,0.4652,1,1,0,0.5214,0,1,0,0,0,0,1,0
0.4545,0.0577,0.45,0.1934,0.3333,0,1,0.779,1,0,0,1,0,0,1,0
0.8384,0.5,0.75,0.6817,1,0,0,0.2648,0,0,1,0,0,0,0,1
0.2626,0.2308,0.4,0.2582,0.6667,0,1,0.5966,1,0,1,0,0,0,0,1
0.5758,0.5385,0.5,0.1424,0.6667,1,0,0.1756,1,0,0,0,1,0,1,0
0.7071,0.5,0.45,0.0195,0.3333,1,1,0.3144,0,0,0,0,1,0,0,1
0.4444,0.3269,0.45,0.7699,0,1,1,0.2527,0,0,1,0,0,1,0,0
0.6768,0.7308,0.2,0.7995,0.3333,1,0,0.4873,1,0,1,0,0,0,1,0
0.7879,0.2115,0.5,0.6415,0.3333,0,0,0.2686,1,0,0,0,1,0,0,1
0.1818,0.1538,0.45,0.328,0.3333,0,1,0.5561,1,0,0,0,1,0,0,1
0.697,0.6154,0.75,0.1645,0,0,1,0.0046,1,0,0,1,0,1,0,0
0.596,0.4038,0.25,0.6347,0.6667,1,0,0.2699,1,0,0,0,1,0,0,1
0.0505,0.3654,1,0.5367,0.6667,0,0,0.8917,1,1,0,0,0,0,1,0
0.1212,0.8846,0.55,0.7214,0,1,0,0.8679,1,1,0,0,0,1,0,0
0.2626,0.8846,0.55,0.8207,0.3333,0,0,0.894,1,1,0,0,0,1,0,0
0.2323,0.4231,0.6,0.127,0.3333,0,1,0.7224,0,0,0,0,1,0,1,0
0.5354,0.0192,0.95,0.422,0.3333,0,0,0.7804,1,1,0,0,0,0,0,1
0.5758,0.8462,0.2,0.837,0.6667,0,1,0.1996,0,0,0,1,0,0,0,1
0.5758,0.9423,0.55,0.3347,0.3333,1,1,0.8703,0,0,1,0,0,0,0,1
0.4444,0.9808,0.7,0.1202,0.6667,1,1,0.0294,1,0,0,1,0,0,0,1
0.5354,0.25,0.5,0.935,0.3333,1,0,0.4467,1,1,0,0,0,0,1,0
0.8283,0.4615,0.25,0.8194,0,0,0,0.5767,0,0,0,1,0,0,0,1
0.8283,0.7885,0.45,0.772,1,0,0,0.2461,1,0,0,0,1,0,0,1
